study,influence,group_id,theta,pre_influence,post_influence,subject_id,task_id,original_condition,group_task
lorenz2011,1,081111_1557,734,1200.0,320.0,8_081111_1557,lorenz2017_task_734,Decentralized_ aggregated,081111_1557_lorenz2017_task_734
lorenz2011,1,081111_1557,734,164.0,290.0,9_081111_1557,lorenz2017_task_734,Decentralized_ aggregated,081111_1557_lorenz2017_task_734
lorenz2011,1,081111_1557,734,30.0,150.0,10_081111_1557,lorenz2017_task_734,Decentralized_ aggregated,081111_1557_lorenz2017_task_734
lorenz2011,1,081111_1557,734,190.0,420.0,11_081111_1557,lorenz2017_task_734,Decentralized_ aggregated,081111_1557_lorenz2017_task_734
lorenz2011,1,081111_1557,734,120.0,340.0,12_081111_1557,lorenz2017_task_734,Decentralized_ aggregated,081111_1557_lorenz2017_task_734
lorenz2011,1,081111_1557,10067,12000.0,20000.0,1_081111_1557,lorenz2017_task_10067,Decentralized_ full_info,081111_1557_lorenz2017_task_10067
lorenz2011,1,081111_1557,10067,5000.0,2500.0,2_081111_1557,lorenz2017_task_10067,Decentralized_ full_info,081111_1557_lorenz2017_task_10067
lorenz2011,1,081111_1557,10067,2000.0,10000.0,3_081111_1557,lorenz2017_task_10067,Decentralized_ full_info,081111_1557_lorenz2017_task_10067
lorenz2011,1,081111_1557,10067,1000.0,12000.0,4_081111_1557,lorenz2017_task_10067,Decentralized_ full_info,081111_1557_lorenz2017_task_10067
lorenz2011,1,081111_1557,10067,26000.0,23000.0,5_081111_1557,lorenz2017_task_10067,Decentralized_ full_info,081111_1557_lorenz2017_task_10067
lorenz2011,1,081111_1557,10067,24154.0,15412.0,6_081111_1557,lorenz2017_task_10067,Decentralized_ full_info,081111_1557_lorenz2017_task_10067
lorenz2011,1,081111_1557,10067,6000.0,13000.0,7_081111_1557,lorenz2017_task_10067,Decentralized_ full_info,081111_1557_lorenz2017_task_10067
lorenz2011,1,081111_1557,10067,12000.0,21000.0,8_081111_1557,lorenz2017_task_10067,Decentralized_ full_info,081111_1557_lorenz2017_task_10067
lorenz2011,1,081111_1557,10067,498.0,12679.0,9_081111_1557,lorenz2017_task_10067,Decentralized_ full_info,081111_1557_lorenz2017_task_10067
lorenz2011,1,081111_1557,10067,500000.0,16000.0,10_081111_1557,lorenz2017_task_10067,Decentralized_ full_info,081111_1557_lorenz2017_task_10067
lorenz2011,1,081111_1557,10067,10000.0,8000.0,11_081111_1557,lorenz2017_task_10067,Decentralized_ full_info,081111_1557_lorenz2017_task_10067
lorenz2011,1,081111_1557,10067,3000.0,12000.0,12_081111_1557,lorenz2017_task_10067,Decentralized_ full_info,081111_1557_lorenz2017_task_10067
lorenz2011,0,081111_1557,198,92.0,120.0,1_081111_1557,lorenz2017_task_198,Solo,081111_1557_lorenz2017_task_198
lorenz2011,0,081111_1557,198,15.0,125.0,2_081111_1557,lorenz2017_task_198,Solo,081111_1557_lorenz2017_task_198
lorenz2011,0,081111_1557,198,200.0,750.0,3_081111_1557,lorenz2017_task_198,Solo,081111_1557_lorenz2017_task_198
lorenz2011,0,081111_1557,198,500.0,400.0,4_081111_1557,lorenz2017_task_198,Solo,081111_1557_lorenz2017_task_198
lorenz2011,0,081111_1557,198,41.0,27.0,5_081111_1557,lorenz2017_task_198,Solo,081111_1557_lorenz2017_task_198
lorenz2011,0,081111_1557,198,1001.0,30413.0,6_081111_1557,lorenz2017_task_198,Solo,081111_1557_lorenz2017_task_198
lorenz2011,0,081111_1557,198,50.0,120.0,7_081111_1557,lorenz2017_task_198,Solo,081111_1557_lorenz2017_task_198
lorenz2011,0,081111_1557,198,70.0,90.0,8_081111_1557,lorenz2017_task_198,Solo,081111_1557_lorenz2017_task_198
lorenz2011,0,081111_1557,198,38.0,55.0,9_081111_1557,lorenz2017_task_198,Solo,081111_1557_lorenz2017_task_198
lorenz2011,0,081111_1557,198,200.0,40.0,10_081111_1557,lorenz2017_task_198,Solo,081111_1557_lorenz2017_task_198
lorenz2011,0,081111_1557,198,12.0,19.0,11_081111_1557,lorenz2017_task_198,Solo,081111_1557_lorenz2017_task_198
lorenz2011,0,081111_1557,198,180.0,200.0,12_081111_1557,lorenz2017_task_198,Solo,081111_1557_lorenz2017_task_198
lorenz2011,1,081111_1557,639,98.0,260.0,1_081111_1557,lorenz2017_task_639,Decentralized_ aggregated,081111_1557_lorenz2017_task_639
lorenz2011,1,081111_1557,639,50.0,300.0,2_081111_1557,lorenz2017_task_639,Decentralized_ aggregated,081111_1557_lorenz2017_task_639
lorenz2011,1,081111_1557,639,3000.0,2500.0,3_081111_1557,lorenz2017_task_639,Decentralized_ aggregated,081111_1557_lorenz2017_task_639
lorenz2011,1,081111_1557,639,300.0,450.0,4_081111_1557,lorenz2017_task_639,Decentralized_ aggregated,081111_1557_lorenz2017_task_639
lorenz2011,1,081111_1557,639,95.0,500.0,5_081111_1557,lorenz2017_task_639,Decentralized_ aggregated,081111_1557_lorenz2017_task_639
lorenz2011,1,081111_1557,639,50.0,210.0,6_081111_1557,lorenz2017_task_639,Decentralized_ aggregated,081111_1557_lorenz2017_task_639
lorenz2011,1,081111_1557,639,50.0,300.0,7_081111_1557,lorenz2017_task_639,Decentralized_ aggregated,081111_1557_lorenz2017_task_639
lorenz2011,1,081111_1557,639,456.0,1100.0,8_081111_1557,lorenz2017_task_639,Decentralized_ aggregated,081111_1557_lorenz2017_task_639
lorenz2011,1,081111_1557,639,725.0,518.0,9_081111_1557,lorenz2017_task_639,Decentralized_ aggregated,081111_1557_lorenz2017_task_639
lorenz2011,1,081111_1557,639,100.0,200.0,10_081111_1557,lorenz2017_task_639,Decentralized_ aggregated,081111_1557_lorenz2017_task_639
lorenz2011,1,081111_1557,639,365.0,750.0,11_081111_1557,lorenz2017_task_639,Decentralized_ aggregated,081111_1557_lorenz2017_task_639
lorenz2011,1,081111_1557,639,10.0,60.0,12_081111_1557,lorenz2017_task_639,Decentralized_ aggregated,081111_1557_lorenz2017_task_639
lorenz2011,1,081111_1557,9272,806.0,3500.0,1_081111_1557,lorenz2017_task_9272,Decentralized_ full_info,081111_1557_lorenz2017_task_9272
lorenz2011,1,081111_1557,9272,10000.0,4500.0,2_081111_1557,lorenz2017_task_9272,Decentralized_ full_info,081111_1557_lorenz2017_task_9272
lorenz2011,1,081111_1557,9272,3000.0,3200.0,3_081111_1557,lorenz2017_task_9272,Decentralized_ full_info,081111_1557_lorenz2017_task_9272
lorenz2011,1,081111_1557,9272,2000.0,5000.0,4_081111_1557,lorenz2017_task_9272,Decentralized_ full_info,081111_1557_lorenz2017_task_9272
lorenz2011,1,081111_1557,9272,956.0,2900.0,5_081111_1557,lorenz2017_task_9272,Decentralized_ full_info,081111_1557_lorenz2017_task_9272
lorenz2011,1,081111_1557,9272,2500.0,3414.0,6_081111_1557,lorenz2017_task_9272,Decentralized_ full_info,081111_1557_lorenz2017_task_9272
lorenz2011,1,081111_1557,9272,1800.0,1200.0,7_081111_1557,lorenz2017_task_9272,Decentralized_ full_info,081111_1557_lorenz2017_task_9272
lorenz2011,1,081111_1557,9272,8500.0,7900.0,8_081111_1557,lorenz2017_task_9272,Decentralized_ full_info,081111_1557_lorenz2017_task_9272
lorenz2011,1,081111_1557,9272,2365.0,3289.0,9_081111_1557,lorenz2017_task_9272,Decentralized_ full_info,081111_1557_lorenz2017_task_9272
lorenz2011,1,081111_1557,9272,700.0,4000.0,10_081111_1557,lorenz2017_task_9272,Decentralized_ full_info,081111_1557_lorenz2017_task_9272
lorenz2011,1,081111_1557,9272,650.0,4500.0,11_081111_1557,lorenz2017_task_9272,Decentralized_ full_info,081111_1557_lorenz2017_task_9272
lorenz2011,1,081111_1557,9272,25000.0,3000.0,12_081111_1557,lorenz2017_task_9272,Decentralized_ full_info,081111_1557_lorenz2017_task_9272
lorenz2011,1,081113_1411,184,30.0,30.0,1_081113_1411,lorenz2017_task_184,Decentralized_ full_info,081113_1411_lorenz2017_task_184
lorenz2011,1,081113_1411,184,168.0,156.0,2_081113_1411,lorenz2017_task_184,Decentralized_ full_info,081113_1411_lorenz2017_task_184
lorenz2011,1,081113_1411,184,2.0,15.0,3_081113_1411,lorenz2017_task_184,Decentralized_ full_info,081113_1411_lorenz2017_task_184
lorenz2011,1,081113_1411,184,17.0,72.0,4_081113_1411,lorenz2017_task_184,Decentralized_ full_info,081113_1411_lorenz2017_task_184
lorenz2011,1,081113_1411,184,100.0,100.0,5_081113_1411,lorenz2017_task_184,Decentralized_ full_info,081113_1411_lorenz2017_task_184
lorenz2011,1,081113_1411,184,1070.0,160.0,6_081113_1411,lorenz2017_task_184,Decentralized_ full_info,081113_1411_lorenz2017_task_184
lorenz2011,1,081113_1411,184,7.0,70.0,7_081113_1411,lorenz2017_task_184,Decentralized_ full_info,081113_1411_lorenz2017_task_184
lorenz2011,1,081113_1411,184,20.0,30.0,8_081113_1411,lorenz2017_task_184,Decentralized_ full_info,081113_1411_lorenz2017_task_184
lorenz2011,1,081113_1411,184,150.0,75.0,9_081113_1411,lorenz2017_task_184,Decentralized_ full_info,081113_1411_lorenz2017_task_184
lorenz2011,1,081113_1411,184,112.0,119.0,10_081113_1411,lorenz2017_task_184,Decentralized_ full_info,081113_1411_lorenz2017_task_184
lorenz2011,1,081113_1411,184,500.0,75.0,11_081113_1411,lorenz2017_task_184,Decentralized_ full_info,081113_1411_lorenz2017_task_184
lorenz2011,1,081113_1411,184,200.0,110.0,12_081113_1411,lorenz2017_task_184,Decentralized_ full_info,081113_1411_lorenz2017_task_184
lorenz2011,0,081113_1411,734,300.0,300.0,1_081113_1411,lorenz2017_task_734,Solo,081113_1411_lorenz2017_task_734
lorenz2011,0,081113_1411,734,115.0,160.0,2_081113_1411,lorenz2017_task_734,Solo,081113_1411_lorenz2017_task_734
lorenz2011,0,081113_1411,734,200.0,100.0,3_081113_1411,lorenz2017_task_734,Solo,081113_1411_lorenz2017_task_734
lorenz2011,0,081113_1411,734,80.0,80.0,4_081113_1411,lorenz2017_task_734,Solo,081113_1411_lorenz2017_task_734
lorenz2011,0,081113_1411,734,1000.0,900.0,5_081113_1411,lorenz2017_task_734,Solo,081113_1411_lorenz2017_task_734
lorenz2011,0,081113_1411,734,320.0,280.0,6_081113_1411,lorenz2017_task_734,Solo,081113_1411_lorenz2017_task_734
lorenz2011,0,081113_1411,734,100.0,110.0,7_081113_1411,lorenz2017_task_734,Solo,081113_1411_lorenz2017_task_734
lorenz2011,0,081113_1411,734,150.0,75.0,8_081113_1411,lorenz2017_task_734,Solo,081113_1411_lorenz2017_task_734
lorenz2011,0,081113_1411,734,800.0,350.0,9_081113_1411,lorenz2017_task_734,Solo,081113_1411_lorenz2017_task_734
lorenz2011,0,081113_1411,734,300.0,430.0,10_081113_1411,lorenz2017_task_734,Solo,081113_1411_lorenz2017_task_734
lorenz2011,0,081113_1411,734,20.0,45.0,11_081113_1411,lorenz2017_task_734,Solo,081113_1411_lorenz2017_task_734
lorenz2011,0,081113_1411,734,600.0,650.0,12_081113_1411,lorenz2017_task_734,Solo,081113_1411_lorenz2017_task_734
lorenz2011,1,081113_1411,10067,10000.0,10000.0,1_081113_1411,lorenz2017_task_10067,Decentralized_ aggregated,081113_1411_lorenz2017_task_10067
lorenz2011,1,081113_1411,10067,2600.0,3620.0,2_081113_1411,lorenz2017_task_10067,Decentralized_ aggregated,081113_1411_lorenz2017_task_10067
lorenz2011,1,081113_1411,10067,3.0,6000.0,3_081113_1411,lorenz2017_task_10067,Decentralized_ aggregated,081113_1411_lorenz2017_task_10067
lorenz2011,1,081113_1411,10067,65000.0,8385.0,4_081113_1411,lorenz2017_task_10067,Decentralized_ aggregated,081113_1411_lorenz2017_task_10067
lorenz2011,1,081113_1411,10067,5000.0,8000.0,5_081113_1411,lorenz2017_task_10067,Decentralized_ aggregated,081113_1411_lorenz2017_task_10067
lorenz2011,1,081113_1411,10067,25600.0,8290.0,6_081113_1411,lorenz2017_task_10067,Decentralized_ aggregated,081113_1411_lorenz2017_task_10067
lorenz2011,1,081113_1411,10067,10000.0,6000.0,7_081113_1411,lorenz2017_task_10067,Decentralized_ aggregated,081113_1411_lorenz2017_task_10067
lorenz2011,1,081113_1411,10067,10000.0,9600.0,8_081113_1411,lorenz2017_task_10067,Decentralized_ aggregated,081113_1411_lorenz2017_task_10067
lorenz2011,1,081113_1411,10067,9000.0,13000.0,9_081113_1411,lorenz2017_task_10067,Decentralized_ aggregated,081113_1411_lorenz2017_task_10067
lorenz2011,1,081113_1411,10067,20000.0,8563.0,10_081113_1411,lorenz2017_task_10067,Decentralized_ aggregated,081113_1411_lorenz2017_task_10067
lorenz2011,1,081113_1411,10067,700.0,2500.0,11_081113_1411,lorenz2017_task_10067,Decentralized_ aggregated,081113_1411_lorenz2017_task_10067
lorenz2011,1,081113_1411,10067,1000.0,9500.0,12_081113_1411,lorenz2017_task_10067,Decentralized_ aggregated,081113_1411_lorenz2017_task_10067
lorenz2011,1,081113_1411,198,200.0,200.0,1_081113_1411,lorenz2017_task_198,Decentralized_ full_info,081113_1411_lorenz2017_task_198
lorenz2011,1,081113_1411,198,2340.0,210.0,2_081113_1411,lorenz2017_task_198,Decentralized_ full_info,081113_1411_lorenz2017_task_198
lorenz2011,1,081113_1411,198,1500.0,400.0,3_081113_1411,lorenz2017_task_198,Decentralized_ full_info,081113_1411_lorenz2017_task_198
lorenz2011,1,081113_1411,198,100.0,70.0,4_081113_1411,lorenz2017_task_198,Decentralized_ full_info,081113_1411_lorenz2017_task_198
lorenz2011,1,081113_1411,198,100.0,100.0,5_081113_1411,lorenz2017_task_198,Decentralized_ full_info,081113_1411_lorenz2017_task_198
lorenz2011,1,081113_1411,198,180.0,172.0,6_081113_1411,lorenz2017_task_198,Decentralized_ full_info,081113_1411_lorenz2017_task_198
lorenz2011,1,081113_1411,198,600.0,100.0,7_081113_1411,lorenz2017_task_198,Decentralized_ full_info,081113_1411_lorenz2017_task_198
lorenz2011,1,081113_1411,198,300.0,200.0,8_081113_1411,lorenz2017_task_198,Decentralized_ full_info,081113_1411_lorenz2017_task_198
lorenz2011,1,081113_1411,198,350.0,150.0,9_081113_1411,lorenz2017_task_198,Decentralized_ full_info,081113_1411_lorenz2017_task_198
lorenz2011,1,081113_1411,198,95.0,250.0,10_081113_1411,lorenz2017_task_198,Decentralized_ full_info,081113_1411_lorenz2017_task_198
lorenz2011,1,081113_1411,198,200.0,75.0,11_081113_1411,lorenz2017_task_198,Decentralized_ full_info,081113_1411_lorenz2017_task_198
lorenz2011,1,081113_1411,198,100.0,100.0,12_081113_1411,lorenz2017_task_198,Decentralized_ full_info,081113_1411_lorenz2017_task_198
lorenz2011,0,081113_1411,639,2000.0,2000.0,1_081113_1411,lorenz2017_task_639,Solo,081113_1411_lorenz2017_task_639
lorenz2011,0,081113_1411,639,152.0,81.0,2_081113_1411,lorenz2017_task_639,Solo,081113_1411_lorenz2017_task_639
lorenz2011,0,081113_1411,639,50.0,15.0,3_081113_1411,lorenz2017_task_639,Solo,081113_1411_lorenz2017_task_639
lorenz2011,0,081113_1411,639,65.0,182.0,4_081113_1411,lorenz2017_task_639,Solo,081113_1411_lorenz2017_task_639
lorenz2011,0,081113_1411,639,500.0,300.0,5_081113_1411,lorenz2017_task_639,Solo,081113_1411_lorenz2017_task_639
lorenz2011,0,081113_1411,639,4000.0,5000.0,6_081113_1411,lorenz2017_task_639,Solo,081113_1411_lorenz2017_task_639
lorenz2011,0,081113_1411,639,7000.0,10000.0,7_081113_1411,lorenz2017_task_639,Solo,081113_1411_lorenz2017_task_639
lorenz2011,0,081113_1411,639,500.0,150.0,8_081113_1411,lorenz2017_task_639,Solo,081113_1411_lorenz2017_task_639
lorenz2011,0,081113_1411,639,3000.0,80000.0,9_081113_1411,lorenz2017_task_639,Solo,081113_1411_lorenz2017_task_639
lorenz2011,0,081113_1411,639,200.0,23.0,10_081113_1411,lorenz2017_task_639,Solo,081113_1411_lorenz2017_task_639
lorenz2011,0,081113_1411,639,250.0,900.0,11_081113_1411,lorenz2017_task_639,Solo,081113_1411_lorenz2017_task_639
lorenz2011,0,081113_1411,639,250.0,265.0,12_081113_1411,lorenz2017_task_639,Solo,081113_1411_lorenz2017_task_639
lorenz2011,1,081113_1411,9272,10000.0,10000.0,1_081113_1411,lorenz2017_task_9272,Decentralized_ aggregated,081113_1411_lorenz2017_task_9272
lorenz2011,1,081113_1411,9272,2700.0,1230.0,2_081113_1411,lorenz2017_task_9272,Decentralized_ aggregated,081113_1411_lorenz2017_task_9272
lorenz2011,1,081113_1411,9272,1500.0,25000.0,3_081113_1411,lorenz2017_task_9272,Decentralized_ aggregated,081113_1411_lorenz2017_task_9272
lorenz2011,1,081113_1411,9272,2500.0,9432.0,4_081113_1411,lorenz2017_task_9272,Decentralized_ aggregated,081113_1411_lorenz2017_task_9272
lorenz2011,1,081113_1411,9272,20000.0,10000.0,5_081113_1411,lorenz2017_task_9272,Decentralized_ aggregated,081113_1411_lorenz2017_task_9272
lorenz2011,1,081113_1411,9272,15000.0,13588.0,6_081113_1411,lorenz2017_task_9272,Decentralized_ aggregated,081113_1411_lorenz2017_task_9272
lorenz2011,1,081113_1411,9272,2000.0,1000.0,7_081113_1411,lorenz2017_task_9272,Decentralized_ aggregated,081113_1411_lorenz2017_task_9272
lorenz2011,1,081113_1411,9272,50000.0,10000.0,8_081113_1411,lorenz2017_task_9272,Decentralized_ aggregated,081113_1411_lorenz2017_task_9272
lorenz2011,1,081113_1411,9272,2000.0,5000.0,9_081113_1411,lorenz2017_task_9272,Decentralized_ aggregated,081113_1411_lorenz2017_task_9272
lorenz2011,1,081113_1411,9272,900.0,15000.0,10_081113_1411,lorenz2017_task_9272,Decentralized_ aggregated,081113_1411_lorenz2017_task_9272
lorenz2011,1,081113_1411,9272,10000.0,8000.0,11_081113_1411,lorenz2017_task_9272,Decentralized_ aggregated,081113_1411_lorenz2017_task_9272
lorenz2011,1,081113_1411,9272,6500.0,11500.0,12_081113_1411,lorenz2017_task_9272,Decentralized_ aggregated,081113_1411_lorenz2017_task_9272
lorenz2011,1,081113_1518,184,150.0,300.0,1_081113_1518,lorenz2017_task_184,Decentralized_ aggregated,081113_1518_lorenz2017_task_184
lorenz2011,1,081113_1518,184,150.0,150.0,2_081113_1518,lorenz2017_task_184,Decentralized_ aggregated,081113_1518_lorenz2017_task_184
lorenz2011,1,081113_1518,184,3000.0,75.0,3_081113_1518,lorenz2017_task_184,Decentralized_ aggregated,081113_1518_lorenz2017_task_184
lorenz2011,1,081113_1518,184,600.0,200.0,4_081113_1518,lorenz2017_task_184,Decentralized_ aggregated,081113_1518_lorenz2017_task_184
lorenz2011,1,081113_1518,184,10.0,155.0,5_081113_1518,lorenz2017_task_184,Decentralized_ aggregated,081113_1518_lorenz2017_task_184
lorenz2011,1,081113_1518,184,180.0,155.0,6_081113_1518,lorenz2017_task_184,Decentralized_ aggregated,081113_1518_lorenz2017_task_184
lorenz2011,1,081113_1518,184,1000.0,300.0,7_081113_1518,lorenz2017_task_184,Decentralized_ aggregated,081113_1518_lorenz2017_task_184
lorenz2011,1,081113_1518,184,400.0,400.0,8_081113_1518,lorenz2017_task_184,Decentralized_ aggregated,081113_1518_lorenz2017_task_184
lorenz2011,1,081113_1518,184,30.0,50.0,9_081113_1518,lorenz2017_task_184,Decentralized_ aggregated,081113_1518_lorenz2017_task_184
lorenz2011,1,081113_1518,184,10.0,170.0,10_081113_1518,lorenz2017_task_184,Decentralized_ aggregated,081113_1518_lorenz2017_task_184
lorenz2011,1,081113_1518,184,178.0,180.0,11_081113_1518,lorenz2017_task_184,Decentralized_ aggregated,081113_1518_lorenz2017_task_184
lorenz2011,1,081113_1518,184,24.0,216.0,12_081113_1518,lorenz2017_task_184,Decentralized_ aggregated,081113_1518_lorenz2017_task_184
lorenz2011,1,081113_1518,734,600.0,500.0,1_081113_1518,lorenz2017_task_734,Decentralized_ full_info,081113_1518_lorenz2017_task_734
lorenz2011,1,081113_1518,734,550.0,475.0,2_081113_1518,lorenz2017_task_734,Decentralized_ full_info,081113_1518_lorenz2017_task_734
lorenz2011,1,081113_1518,734,200.0,200.0,3_081113_1518,lorenz2017_task_734,Decentralized_ full_info,081113_1518_lorenz2017_task_734
lorenz2011,1,081113_1518,734,500.0,277.0,4_081113_1518,lorenz2017_task_734,Decentralized_ full_info,081113_1518_lorenz2017_task_734
lorenz2011,1,081113_1518,734,350.0,380.0,5_081113_1518,lorenz2017_task_734,Decentralized_ full_info,081113_1518_lorenz2017_task_734
lorenz2011,1,081113_1518,734,200.0,180.0,6_081113_1518,lorenz2017_task_734,Decentralized_ full_info,081113_1518_lorenz2017_task_734
lorenz2011,1,081113_1518,734,30.0,500.0,7_081113_1518,lorenz2017_task_734,Decentralized_ full_info,081113_1518_lorenz2017_task_734
lorenz2011,1,081113_1518,734,20.0,300.0,8_081113_1518,lorenz2017_task_734,Decentralized_ full_info,081113_1518_lorenz2017_task_734
lorenz2011,1,081113_1518,734,200.0,250.0,9_081113_1518,lorenz2017_task_734,Decentralized_ full_info,081113_1518_lorenz2017_task_734
lorenz2011,1,081113_1518,734,80.0,300.0,10_081113_1518,lorenz2017_task_734,Decentralized_ full_info,081113_1518_lorenz2017_task_734
lorenz2011,1,081113_1518,734,400.0,300.0,11_081113_1518,lorenz2017_task_734,Decentralized_ full_info,081113_1518_lorenz2017_task_734
lorenz2011,1,081113_1518,734,250.0,450.0,12_081113_1518,lorenz2017_task_734,Decentralized_ full_info,081113_1518_lorenz2017_task_734
lorenz2011,0,081113_1518,10067,50000.0,25000.0,1_081113_1518,lorenz2017_task_10067,Solo,081113_1518_lorenz2017_task_10067
lorenz2011,0,081113_1518,10067,10000.0,20000.0,2_081113_1518,lorenz2017_task_10067,Solo,081113_1518_lorenz2017_task_10067
lorenz2011,0,081113_1518,10067,50000.0,10000.0,3_081113_1518,lorenz2017_task_10067,Solo,081113_1518_lorenz2017_task_10067
lorenz2011,0,081113_1518,10067,600.0,1400.0,4_081113_1518,lorenz2017_task_10067,Solo,081113_1518_lorenz2017_task_10067
lorenz2011,0,081113_1518,10067,1500.0,1500.0,5_081113_1518,lorenz2017_task_10067,Solo,081113_1518_lorenz2017_task_10067
lorenz2011,0,081113_1518,10067,3000.0,5275.0,6_081113_1518,lorenz2017_task_10067,Solo,081113_1518_lorenz2017_task_10067
lorenz2011,0,081113_1518,10067,10000.0,200.0,7_081113_1518,lorenz2017_task_10067,Solo,081113_1518_lorenz2017_task_10067
lorenz2011,0,081113_1518,10067,30000.0,10000.0,8_081113_1518,lorenz2017_task_10067,Solo,081113_1518_lorenz2017_task_10067
lorenz2011,0,081113_1518,10067,10000.0,9000.0,9_081113_1518,lorenz2017_task_10067,Solo,081113_1518_lorenz2017_task_10067
lorenz2011,0,081113_1518,10067,10000.0,50000.0,10_081113_1518,lorenz2017_task_10067,Solo,081113_1518_lorenz2017_task_10067
lorenz2011,0,081113_1518,10067,10000.0,6000.0,11_081113_1518,lorenz2017_task_10067,Solo,081113_1518_lorenz2017_task_10067
lorenz2011,0,081113_1518,10067,179.0,79.0,12_081113_1518,lorenz2017_task_10067,Solo,081113_1518_lorenz2017_task_10067
lorenz2011,1,081113_1518,198,10.0,280.0,1_081113_1518,lorenz2017_task_198,Decentralized_ aggregated,081113_1518_lorenz2017_task_198
lorenz2011,1,081113_1518,198,50.0,250.0,2_081113_1518,lorenz2017_task_198,Decentralized_ aggregated,081113_1518_lorenz2017_task_198
lorenz2011,1,081113_1518,198,2000.0,300.0,3_081113_1518,lorenz2017_task_198,Decentralized_ aggregated,081113_1518_lorenz2017_task_198
lorenz2011,1,081113_1518,198,5000.0,280.0,4_081113_1518,lorenz2017_task_198,Decentralized_ aggregated,081113_1518_lorenz2017_task_198
lorenz2011,1,081113_1518,198,100.0,300.0,5_081113_1518,lorenz2017_task_198,Decentralized_ aggregated,081113_1518_lorenz2017_task_198
lorenz2011,1,081113_1518,198,100.0,275.0,6_081113_1518,lorenz2017_task_198,Decentralized_ aggregated,081113_1518_lorenz2017_task_198
lorenz2011,1,081113_1518,198,100.0,200.0,7_081113_1518,lorenz2017_task_198,Decentralized_ aggregated,081113_1518_lorenz2017_task_198
lorenz2011,1,081113_1518,198,10.0,50.0,8_081113_1518,lorenz2017_task_198,Decentralized_ aggregated,081113_1518_lorenz2017_task_198
lorenz2011,1,081113_1518,198,30.0,250.0,9_081113_1518,lorenz2017_task_198,Decentralized_ aggregated,081113_1518_lorenz2017_task_198
lorenz2011,1,081113_1518,198,100.0,260.0,10_081113_1518,lorenz2017_task_198,Decentralized_ aggregated,081113_1518_lorenz2017_task_198
lorenz2011,1,081113_1518,198,10.0,15.0,11_081113_1518,lorenz2017_task_198,Decentralized_ aggregated,081113_1518_lorenz2017_task_198
lorenz2011,1,081113_1518,198,70.0,275.0,12_081113_1518,lorenz2017_task_198,Decentralized_ aggregated,081113_1518_lorenz2017_task_198
lorenz2011,1,081113_1518,639,125.0,2000.0,1_081113_1518,lorenz2017_task_639,Decentralized_ full_info,081113_1518_lorenz2017_task_639
